id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,high_est,low_est
62600,,2013,False,Clear,1,234,234,Israel: Palestine,477,477,Government of Israel - Hamas,121,121,Government of Israel,209,209,Hamas,2,"""Xinhua News Agency,2013-04-30,Israeli PM admits airstrike against Gaza"";""BtSelem,2013-12-26,Palestinians killed by Israeli security forces in the Gaza Strip, after operation Cast Lead""",Xinhua News Agency;BtSelem,2013-04-30;2013-12-26,"Israeli PM admits airstrike against Gaza;Palestinians killed by Israeli security forces in the Gaza Strip, after operation Cast Lead",army sources,1,Gaza town,,Gaza Strip,Gaza,31.516667,34.450000,POINT (34.450000 31.516667),175389,Israel,666,Middle East,1,1,04/29/2013 00:00:00,04/29/2013 00:00:00,0,1,0,0,1,1,1,
62605,,2013,False,Clear,1,234,234,Israel: Palestine,477,477,Government of Israel - Hamas,121,121,Government of Israel,209,209,Hamas,1,"""BBC Monitoring Middle East,2013-09-06,Palestinian Hamas militant killed in Gaza""",BBC Monitoring Middle East,2013-09-06,Palestinian Hamas militant killed in Gaza,Hamas sources,2,Gaza town,,Gaza Strip,Gaza,31.516667,34.450000,POINT (34.450000 31.516667),175389,Israel,666,Middle East,1,1,09/05/2013 00:00:00,09/05/2013 00:00:00,0,1,0,0,1,1,1,
62606,,2013,False,Clear,1,234,234,Israel: Palestine,478,478,Government of Israel - PIJ,121,121,Government of Israel,208,208,PIJ,2,"""BBC Monitoring Middle East,2013-09-17,Israeli troops kill suspected terrorist in Janin as raid met with resistance"";""Xinhua News Agency,2013-10-22,Islamic Jihad militant killed by Israeli army""",BBC Monitoring Middle East;Xinhua News Agency,2013-09-17;2013-10-22,Israeli troops kill suspected terrorist in Janin as raid met with resistance;Islamic Jihad militant killed by Israeli army,military sources,1,Jenin town,,West Bank,Jenin,32.459433,35.300857,POINT (35.300857 32.459433),176111,Israel,666,Middle East,1,1,09/17/2013 00:00:00,09/17/2013 00:00:00,0,0,0,0,0,1,0,
62608,,2013,False,Clear,1,234,234,Israel: Palestine,477,477,Government of Israel - Hamas,121,121,Government of Israel,209,209,Hamas,3,"""Xinhua News Agency,2013-10-17,Palestinian man shot dead for alleged break-in attempt"";""Xinhua News Agency,2013-10-17,Update: Palestinian tried to run over Israeli soldier before shot dead"";""BBC Monitoring Middle East,2013-10-19,Two Palestinian Hamas officials hail ""spectacular"" operation North of Jerusalem""",Xinhua News Agency;Xinhua News Agency;BBC Monitoring Middle East,2013-10-17;2013-10-17;2013-10-19,"Palestinian man shot dead for alleged break-in attempt;Update: Palestinian tried to run over Israeli soldier before shot dead;Two Palestinian Hamas officials hail ""spectacular"" operation North of Jerusalem",army,2,Al-Ram village,,West Bank,Jerusalem,31.853431,35.233367,POINT (35.233367 31.853431),175391,Israel,666,Middle East,1,1,10/17/2013 00:00:00,10/17/2013 00:00:00,0,1,0,0,1,1,1,
62609,,2013,False,Clear,1,234,234,Israel: Palestine,478,478,Government of Israel - PIJ,121,121,Government of Israel,208,208,PIJ,1,"""Xinhua News Agency,2013-10-22,Islamic Jihad militant killed by Israeli army""",Xinhua News Agency,2013-10-22,Islamic Jihad militant killed by Israeli army,military sources,2,Ramallah town,,West Bank,Ramallah and al-Bireh,31.902561,35.195547,POINT (35.195547 31.902561),175391,Israel,666,Middle East,1,1,10/22/2013 00:00:00,10/22/2013 00:00:00,0,1,0,0,1,1,1,
62610,,2013,False,Clear,1,234,234,Israel: Palestine,477,477,Government of Israel - Hamas,121,121,Government of Israel,209,209,Hamas,1,"""Xinhua News Agency,2013-11-01,4 Hamas militants killed in 2 separate Israeli attacks on Gaza""",Xinhua News Agency,2013-11-01,4 Hamas militants killed in 2 separate Israeli attacks on Gaza,medical sources,2,Khan Younis town,,Gaza Strip,Khan Younis,31.344444,34.303056,POINT (34.303056 31.344444),174669,Israel,666,Middle East,1,1,10/31/2013 00:00:00,10/31/2013 00:00:00,0,1,0,0,1,1,1,
62611,,2013,False,Clear,1,234,234,Israel: Palestine,477,477,Government of Israel - Hamas,121,121,Government of Israel,209,209,Hamas,1,"""Xinhua News Agency,2013-11-01,4 Hamas militants killed in 2 separate Israeli attacks on Gaza""",Xinhua News Agency,2013-11-01,4 Hamas militants killed in 2 separate Israeli attacks on Gaza,army sources and Gaza spokesperson for medical emergencies,2,Khan Younis town,,Gaza Strip,Khan Younis,31.344444,34.303056,POINT (34.303056 31.344444),174669,Israel,666,Middle East,1,1,11/01/2013 00:00:00,11/01/2013 00:00:00,0,3,0,0,3,3,3,
120757,,2014,True,Clear,1,234,234,Israel: Palestine,478,478,Government of Israel - PIJ,121,121,Government of Israel,208,208,PIJ,1,"""Agence France Presse,2014-01-08,Gaza militant killed near Israel border""",Agence France Presse,2014-01-08,Gaza militant killed near Israel border,"army, PIJ",1,Gaza town,,Gaza Strip,Gaza,31.516667,34.450000,POINT (34.450000 31.516667),175389,Israel,666,Middle East,1,1,01/08/2014 00:00:00,01/08/2014 00:00:00,0,1,0,0,1,1,1,
120758,,2014,True,Clear,1,234,234,Israel: Palestine,478,478,Government of Israel - PIJ,121,121,Government of Israel,208,208,PIJ,3,"""Agence France Presse,2014-01-22,Two Palestinians killed in Israeli raid on Gaza: medics"";""BBC Monitoring Middle East,2014-01-22,Israeli army kills Palestinian ""terrorist"" in Gaza"";""B'Tselem,2014-01-31,Muhammad Yusef Ahmad a-Z'anin""",Agence France Presse;BBC Monitoring Middle East;B'Tselem,2014-01-22;2014-01-22;2014-01-31,"Two Palestinians killed in Israeli raid on Gaza: medics;Israeli army kills Palestinian ""terrorist"" in Gaza;Muhammad Yusef Ahmad a-Z'anin","army, medics",2,Beit Hanoun town,,Gaza Strip,Gaza ash Shamaliyah,31.535298,34.535787,POINT (34.535787 31.535298),175390,Israel,666,Middle East,1,1,01/22/2014 00:00:00,01/22/2014 00:00:00,0,1,0,1,2,2,2,
120762,,2014,False,Clear,1,234,234,Israel: Palestine,474,474,Government of Israel - PFLP,121,121,Government of Israel,205,205,PFLP,1,"""BBC Monitoring Middle East,2014-02-27,Israeli troops shoot dead ""wanted Palestinian"" in West Bank, disperse rioters""",BBC Monitoring Middle East,2014-02-27,"Israeli troops shoot dead ""wanted Palestinian"" in West Bank, disperse rioters",army,1,Birzeit town,,West Bank,Ramallah and al-Bireh,31.972222,35.195556,POINT (35.195556 31.972222),175391,Israel,666,Middle East,1,1,02/27/2014 00:00:00,02/27/2014 00:00:00,0,1,0,0,1,1,1,
